This file shows errors that happen in  <HumanDetectionSSD.HumanDetection object at 0x7f813c1b34f0> Class
*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 618, 'Point_b_Y': 514, 'Confidence': 0.9979159, 'Label': 'Person 1: 99.79%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 618, 'Point_b_Y': 514, 'Confidence': 0.9979159, 'Label': 'Person 1: 99.79%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 23, 'Point_b_X': 622, 'Point_b_Y': 515, 'Confidence': 0.99787724, 'Label': 'Person 1: 99.79%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 23, 'Point_b_X': 622, 'Point_b_Y': 515, 'Confidence': 0.99787724, 'Label': 'Person 1: 99.79%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 291, 'Point_a_Y': 22, 'Point_b_X': 620, 'Point_b_Y': 514, 'Confidence': 0.9980082, 'Label': 'Person 1: 99.80%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 291, 'Point_a_Y': 22, 'Point_b_X': 620, 'Point_b_Y': 514, 'Confidence': 0.9980082, 'Label': 'Person 1: 99.80%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.9981608, 'Label': 'Person 1: 99.82%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.9981608, 'Label': 'Person 1: 99.82%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 23, 'Point_b_X': 622, 'Point_b_Y': 514, 'Confidence': 0.9981968, 'Label': 'Person 1: 99.82%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 288, 'Point_a_Y': 23, 'Point_b_X': 622, 'Point_b_Y': 514, 'Confidence': 0.9981968, 'Label': 'Person 1: 99.82%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 622, 'Point_b_Y': 513, 'Confidence': 0.99763453, 'Label': 'Person 1: 99.76%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 622, 'Point_b_Y': 513, 'Confidence': 0.99763453, 'Label': 'Person 1: 99.76%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 286, 'Point_a_Y': 23, 'Point_b_X': 624, 'Point_b_Y': 514, 'Confidence': 0.997047, 'Label': 'Person 1: 99.70%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 286, 'Point_a_Y': 23, 'Point_b_X': 624, 'Point_b_Y': 514, 'Confidence': 0.997047, 'Label': 'Person 1: 99.70%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 284, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.9969896, 'Label': 'Person 1: 99.70%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 284, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 515, 'Confidence': 0.9969896, 'Label': 'Person 1: 99.70%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 24, 'Point_b_X': 619, 'Point_b_Y': 516, 'Confidence': 0.9967423, 'Label': 'Person 1: 99.67%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 24, 'Point_b_X': 619, 'Point_b_Y': 516, 'Confidence': 0.9967423, 'Label': 'Person 1: 99.67%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 285, 'Point_a_Y': 23, 'Point_b_X': 620, 'Point_b_Y': 516, 'Confidence': 0.99686605, 'Label': 'Person 1: 99.69%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 285, 'Point_a_Y': 23, 'Point_b_X': 620, 'Point_b_Y': 516, 'Confidence': 0.99686605, 'Label': 'Person 1: 99.69%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 23, 'Point_b_X': 619, 'Point_b_Y': 518, 'Confidence': 0.99706274, 'Label': 'Person 1: 99.71%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 23, 'Point_b_X': 619, 'Point_b_Y': 518, 'Confidence': 0.99706274, 'Label': 'Person 1: 99.71%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 281, 'Point_a_Y': 37, 'Point_b_X': 617, 'Point_b_Y': 525, 'Confidence': 0.9967062, 'Label': 'Person 1: 99.67%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 281, 'Point_a_Y': 37, 'Point_b_X': 617, 'Point_b_Y': 525, 'Confidence': 0.9967062, 'Label': 'Person 1: 99.67%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 285, 'Point_a_Y': 22, 'Point_b_X': 620, 'Point_b_Y': 517, 'Confidence': 0.9969593, 'Label': 'Person 1: 99.70%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 285, 'Point_a_Y': 22, 'Point_b_X': 620, 'Point_b_Y': 517, 'Confidence': 0.9969593, 'Label': 'Person 1: 99.70%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 284, 'Point_a_Y': 37, 'Point_b_X': 618, 'Point_b_Y': 524, 'Confidence': 0.9969945, 'Label': 'Person 1: 99.70%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 284, 'Point_a_Y': 37, 'Point_b_X': 618, 'Point_b_Y': 524, 'Confidence': 0.9969945, 'Label': 'Person 1: 99.70%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 282, 'Point_a_Y': 37, 'Point_b_X': 620, 'Point_b_Y': 524, 'Confidence': 0.99733645, 'Label': 'Person 1: 99.73%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 282, 'Point_a_Y': 37, 'Point_b_X': 620, 'Point_b_Y': 524, 'Confidence': 0.99733645, 'Label': 'Person 1: 99.73%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 277, 'Point_a_Y': 38, 'Point_b_X': 620, 'Point_b_Y': 523, 'Confidence': 0.99742424, 'Label': 'Person 1: 99.74%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 277, 'Point_a_Y': 38, 'Point_b_X': 620, 'Point_b_Y': 523, 'Confidence': 0.99742424, 'Label': 'Person 1: 99.74%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 279, 'Point_a_Y': 38, 'Point_b_X': 619, 'Point_b_Y': 522, 'Confidence': 0.9971909, 'Label': 'Person 1: 99.72%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 279, 'Point_a_Y': 38, 'Point_b_X': 619, 'Point_b_Y': 522, 'Confidence': 0.9971909, 'Label': 'Person 1: 99.72%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 277, 'Point_a_Y': 38, 'Point_b_X': 618, 'Point_b_Y': 524, 'Confidence': 0.99738675, 'Label': 'Person 1: 99.74%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 277, 'Point_a_Y': 38, 'Point_b_X': 618, 'Point_b_Y': 524, 'Confidence': 0.99738675, 'Label': 'Person 1: 99.74%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 276, 'Point_a_Y': 39, 'Point_b_X': 617, 'Point_b_Y': 522, 'Confidence': 0.9973248, 'Label': 'Person 1: 99.73%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 276, 'Point_a_Y': 39, 'Point_b_X': 617, 'Point_b_Y': 522, 'Confidence': 0.9973248, 'Label': 'Person 1: 99.73%'}} ,*********** i is: 0
