FrameNumber,ROI
305,"[332, 31, 703, 531]"
306,"[331, 31, 703, 531]"
307,"[331, 31, 703, 531]"
308,"[330, 31, 704, 531]"
309,"[329, 31, 704, 531]"
310,"[329, 31, 704, 531]"
311,"[329, 31, 704, 531]"
312,"[329, 31, 703, 531]"
313,"[328, 31, 704, 531]"
314,"[327, 31, 704, 532]"
315,"[327, 31, 704, 532]"
316,"[328, 31, 704, 531]"
317,"[326, 31, 704, 531]"
318,"[326, 31, 704, 531]"
319,"[325, 31, 704, 531]"
320,"[325, 31, 704, 531]"
321,"[326, 31, 704, 531]"
322,"[326, 31, 704, 531]"
323,"[327, 31, 704, 531]"
324,"[327, 31, 704, 531]"
325,"[327, 32, 703, 531]"
326,"[325, 32, 704, 531]"
327,"[325, 32, 704, 531]"
328,"[326, 32, 704, 531]"
329,"[327, 32, 704, 531]"
330,"[327, 31, 704, 531]"
331,"[326, 31, 702, 530]"
332,"[326, 31, 702, 530]"
333,"[326, 32, 701, 530]"
334,"[328, 32, 702, 531]"
335,"[327, 32, 702, 531]"
336,"[326, 32, 701, 531]"
337,"[325, 31, 701, 531]"
338,"[325, 31, 702, 531]"
339,"[325, 31, 702, 531]"
340,"[327, 32, 702, 530]"
341,"[327, 32, 702, 530]"
342,"[327, 32, 703, 531]"
343,"[327, 32, 703, 531]"
344,"[326, 32, 702, 531]"
345,"[326, 33, 703, 531]"
346,"[325, 33, 703, 531]"
347,"[325, 33, 704, 531]"
348,"[326, 33, 704, 531]"
349,"[325, 33, 703, 531]"
350,"[325, 32, 703, 531]"
351,"[325, 32, 703, 532]"
352,"[325, 32, 703, 532]"
353,"[325, 33, 703, 531]"
354,"[326, 33, 703, 531]"
355,"[326, 33, 703, 531]"
356,"[326, 33, 703, 531]"
357,"[326, 32, 703, 531]"
358,"[325, 32, 703, 531]"
359,"[325, 32, 703, 531]"
360,"[326, 32, 704, 531]"
361,"[326, 33, 704, 531]"
362,"[326, 33, 704, 531]"
363,"[326, 32, 704, 531]"
364,"[325, 32, 703, 531]"
365,"[325, 32, 703, 531]"
366,"[324, 33, 704, 531]"
367,"[324, 33, 704, 531]"
368,"[326, 33, 704, 531]"
369,"[326, 33, 704, 531]"
370,"[326, 33, 704, 531]"
371,"[324, 33, 704, 531]"
372,"[324, 32, 704, 531]"
373,"[327, 32, 704, 531]"
374,"[327, 33, 704, 531]"
375,"[327, 32, 704, 531]"
376,"[328, 32, 704, 531]"
377,"[328, 32, 704, 531]"
378,"[328, 32, 704, 531]"
379,"[326, 32, 705, 531]"
380,"[326, 33, 705, 531]"
381,"[327, 33, 704, 531]"
382,"[328, 32, 703, 531]"
383,"[329, 32, 704, 531]"
384,"[327, 32, 704, 531]"
385,"[327, 32, 703, 531]"
386,"[327, 32, 704, 531]"
387,"[327, 33, 704, 531]"
388,"[329, 32, 704, 531]"
389,"[329, 32, 704, 531]"
390,"[326, 32, 704, 531]"
391,"[326, 33, 704, 531]"
392,"[326, 33, 704, 531]"
393,"[326, 32, 703, 531]"
394,"[326, 32, 703, 531]"
395,"[326, 31, 703, 531]"
396,"[328, 31, 702, 530]"
397,"[328, 31, 702, 531]"
398,"[328, 31, 702, 531]"
399,"[327, 31, 702, 531]"
400,"[327, 32, 703, 531]"
401,"[327, 31, 704, 531]"
402,"[327, 31, 704, 531]"
403,"[325, 31, 703, 531]"
404,"[325, 30, 703, 531]"
405,"[325, 30, 703, 531]"
